label,start_ms,end_ms,duration_ms,n_keyframes
spider,3500,4200,700,2
blood,6000,15700,9700,20
violence,12500,12700,200,1
violence,14000,15200,1200,3
blood,35500,35700,200,1
blood,37000,37200,200,1
clown,38000,38200,200,1
blood,38500,38700,200,1
BUTTOCKS_COVERED,44500,44700,200,1
blood,54000,54700,700,2
BUTTOCKS_COVERED,55000,55200,200,1
blood,55500,55700,200,2
blood,59000,60700,1700,4
blood,63500,63700,200,1
blood,70500,71200,700,3
blood,72000,73200,1200,3
blood,74000,74200,200,1
violence,75500,76700,1200,3
ARMPITS_EXPOSED,77500,77700,200,1
ARMPITS_EXPOSED,78500,78700,200,1
blood,79000,81200,2200,7
ARMPITS_EXPOSED,82500,82700,200,1
blood,83000,83700,700,2
BELLY_EXPOSED,85500,86700,1200,3
clown,91500,91700,200,1
clown,94500,96700,2200,5
blood,100500,100700,200,1
blood,107500,107700,200,1
FEMALE_BREAST_COVERED,110500,110700,200,1
item,111000,113700,2700,6
blood,112000,112200,200,1
blood,113000,113200,200,1
item,115000,115200,200,1
FEMALE_BREAST_COVERED,115500,118700,3200,7
clown,118000,118200,200,1
blood,119000,120700,1700,6
blood,122000,122200,200,2
blood,124500,125700,1200,3
ARMPITS_EXPOSED,125000,125700,700,2
ARMPITS_EXPOSED,126500,126700,200,1
clown,127000,127700,700,2
blood,128500,129700,1200,3
clown,135500,135700,200,1
blood,139500,139700,200,1
item,140500,140700,200,1
item,141500,141700,200,1
blood,143500,146700,3200,14
item,143500,146700,3200,7
spider,145500,145700,200,1
clown,147000,148200,1200,3
blood,148500,148700,200,1
clown,149500,158700,9200,19
item,149500,149700,200,1
blood,154000,154200,200,1
clown,160000,160700,700,2
clown,162000,162200,200,1
clown,163000,166200,3200,7
blood,165000,165700,700,2
item,166000,167200,1200,3
blood,167000,167200,200,1
clown,167000,167200,200,1
clown,168000,169700,1700,4
blood,168500,168700,200,1
blood,170000,173200,3200,7
item,170000,174200,4200,9
clown,171000,172200,1200,3
clown,174500,175700,1200,3
blood,175000,175200,200,1
item,175500,177200,1700,4
blood,176500,176700,200,1
clown,176500,177200,700,2
blood,178500,178700,200,1
clown,179500,183700,4200,9
clown,184500,185200,700,2
clown,186000,187200,1200,3
clown,188500,188700,200,1
clown,189500,190700,1200,3
clown,191500,194200,2700,6
clown,195000,195700,700,2
clown,196500,197200,700,2
clown,198000,211200,13200,27
clown,212000,215200,3200,7
violence,212500,212700,200,1
blood,213500,214200,700,2
clown,216000,218200,2200,5
blood,216500,219200,2700,6
item,216500,219200,2700,6
clown,219000,229200,10200,21
clown,231500,232200,700,2
blood,232000,232200,200,1
clown,233000,233700,700,2
clown,234500,242200,7700,16
clown,243000,243700,700,2
clown,246500,247200,700,2
blood,250500,253200,2700,8
clown,250500,250700,200,1
item,250500,253200,2700,12
clown,253500,269700,16200,33
blood,254000,254200,200,1
blood,260000,260200,200,2
clown,270500,271200,700,2
clown,272000,280200,8200,17
clown,281000,281200,200,1
clown,282000,282200,200,1
clown,283500,286200,2700,6
clown,287000,296700,9700,20
blood,300000,300200,200,1
blood,302000,302200,200,1
clown,304000,304200,200,1
blood,308000,322700,14700,33
item,312000,314700,2700,6
spider,314000,314700,700,2
clown,326500,326700,200,1
clown,327500,328700,1200,3
blood,329000,329200,200,1
clown,329500,330700,1200,3
blood,331500,331700,200,1
clown,331500,336200,4700,10
clown,337000,343200,6200,13
clown,345000,348700,3700,8
clown,352000,355700,3700,8
clown,357000,359200,2200,5
clown,360500,363700,3200,7
blood,365000,365200,200,1
clown,365500,370700,5200,11
clown,371500,371700,200,1
clown,372500,372700,200,1
clown,375500,380700,5200,11
blood,376000,376200,200,1
clown,381500,384200,2700,6
clown,385000,385200,200,1
clown,386500,386700,200,1
clown,387500,391200,3700,8
clown,392000,404700,12700,26
clown,405500,405700,200,1
clown,406500,406700,200,1
clown,408500,418200,9700,20
clown,419500,462700,43200,87
item,460500,466200,5700,12
blood,462000,466200,4200,13
clown,463500,477700,14200,29
item,475500,477700,2200,5
blood,477000,477200,200,1
blood,478000,486200,8200,34
blood,490000,490200,200,1
blood,509500,509700,200,1
blood,510500,513200,2700,8
