label,start_ms,end_ms,duration_ms,n_keyframes
clown,500,1200,700,2
item,10500,13700,3200,7
item,16000,18700,2700,6
clown,18000,18700,700,2
clown,21000,21200,200,1
blood,22000,31200,9200,19
clown,22000,24700,2700,6
clown,26000,26200,200,1
item,30500,31200,700,2
blood,32000,32200,200,1
blood,33000,34700,1700,4
item,33500,33700,200,1
blood,38500,38700,200,1
blood,46500,46700,200,1
blood,54500,55200,700,2
blood,56500,58200,1700,4
blood,59000,64700,5700,12
blood,67500,68200,700,2
blood,71000,71700,700,2
blood,73500,73700,200,1
item,78500,106200,27700,179
blood,98000,98200,200,1
blood,99000,99200,200,1
violence,102000,102700,700,2
blood,102500,102700,200,1
violence,103500,104700,1200,3
violence,105500,105700,200,1
blood,106500,107200,700,2
clown,107000,111200,4200,9
clown,114000,118200,4200,9
blood,114500,114700,200,1
blood,115500,116700,1200,3
blood,118000,119700,1700,4
