id,label,start_ms,end_ms,duration_ms,n_keyframes
violence-147,violence,0,200,200,1
FEET_COVERED-1,FEET_COVERED,1200,1800,600,2
clown-62,clown,1200,3000,1800,7
FEET_COVERED-2,FEET_COVERED,1600,2600,1000,3
FEET_COVERED-3,FEET_COVERED,1800,2400,600,3
blood-47,blood,5400,5600,200,1
clown-63,clown,6400,8000,1600,5
violence-148,violence,7400,7600,200,1
blood-48,blood,7800,8000,200,1
FEET_COVERED-4,FEET_COVERED,8200,8600,400,2
FEET_COVERED-5,FEET_COVERED,9400,9600,200,1
clown-64,clown,10000,10600,600,2
FEET_COVERED-6,FEET_COVERED,10600,11200,600,3
FEET_COVERED-7,FEET_COVERED,11600,11800,200,1
blood-49,blood,14000,14400,400,2
clown-65,clown,23000,23200,200,1
clown-66,clown,24400,25200,800,2
clown-67,clown,26000,26200,200,1
clown-68,clown,26800,28000,1200,4
clown-69,clown,28600,29000,400,2
clown-70,clown,29800,30000,200,1
clown-71,clown,30600,30800,200,1
item-103,item,30600,31200,600,2
item-104,item,30800,31000,200,1
item-105,item,32200,32400,200,1
blood-50,blood,33800,34000,200,1
clown-72,clown,35200,36000,800,4
clown-73,clown,37400,38400,1000,3
item-106,item,37800,38000,200,1
item-107,item,38600,41200,2600,10
item-108,item,39000,39400,400,2
violence-149,violence,40200,41000,800,4
item-109,item,40600,40800,200,1
FEET_EXPOSED-36,FEET_EXPOSED,41200,43000,1800,5
clown-74,clown,42400,42600,200,1
blood-51,blood,43000,43400,400,2
FEET_EXPOSED-37,FEET_EXPOSED,43600,44000,400,2
FEET_EXPOSED-38,FEET_EXPOSED,43600,44600,1000,5
FEET_EXPOSED-39,FEET_EXPOSED,45200,45400,200,1
clown-75,clown,45600,45800,200,1
blood-52,blood,47000,47200,200,1
FEET_COVERED-8,FEET_COVERED,47200,47400,200,1
FEET_COVERED-9,FEET_COVERED,48200,48400,200,1
clown-76,clown,51800,52200,400,2
clown-77,clown,53200,54400,1200,4
clown-78,clown,55200,55800,600,2
item-110,item,56800,59000,2200,8
item-111,item,57000,57200,200,1
blood-53,blood,58800,60200,1400,4
item-112,item,60400,61800,1400,7
violence-150,violence,62200,62600,400,2
item-113,item,63200,63400,200,1
blood-54,blood,66200,66400,200,1
FEET_EXPOSED-40,FEET_EXPOSED,66600,66800,200,1
item-114,item,67200,68400,1200,5
item-115,item,70000,70200,200,1
item-116,item,70800,71000,200,1
item-117,item,75600,75800,200,1
item-118,item,76400,76800,400,2
item-119,item,80400,81600,1200,4
FEET_EXPOSED-41,FEET_EXPOSED,81200,81400,200,1
item-120,item,82800,84600,1800,4
item-121,item,83200,83400,200,1
clown-79,clown,85400,85600,200,1
item-122,item,85400,86200,800,3
blood-55,blood,86400,87000,600,2
item-123,item,87400,87600,200,1
blood-56,blood,88200,88400,200,1
item-124,item,88600,88800,200,1
item-125,item,90600,91200,600,3
item-126,item,91800,92000,200,1
clown-80,clown,97200,97400,200,1
item-127,item,101400,102200,800,4
violence-151,violence,102000,102200,200,1
item-128,item,102800,104200,1400,5
item-129,item,105400,105600,200,1
clown-81,clown,107600,107800,200,1
FEMALE_BREAST_COVERED-42,FEMALE_BREAST_COVERED,115600,116000,400,2
FEMALE_BREAST_COVERED-43,FEMALE_BREAST_COVERED,116000,116200,200,1
clown-82,clown,119400,119600,200,1
clown-83,clown,119400,120000,600,2
FEET_COVERED-10,FEET_COVERED,120000,120400,400,2
clown-84,clown,120600,121000,400,2
FEET_COVERED-11,FEET_COVERED,121200,122400,1200,4
FEET_COVERED-12,FEET_COVERED,131200,134200,3000,11
FEET_COVERED-13,FEET_COVERED,132800,134400,1600,8
FEET_COVERED-14,FEET_COVERED,132800,134400,1600,8
FEMALE_BREAST_COVERED-44,FEMALE_BREAST_COVERED,132800,133000,200,1
clown-85,clown,133000,133600,600,2
FEET_COVERED-15,FEET_COVERED,133200,134200,1000,4
FEMALE_BREAST_COVERED-45,FEMALE_BREAST_COVERED,134000,134200,200,1
item-130,item,134400,134800,400,2
item-131,item,135800,136000,200,1
violence-152,violence,136000,136200,200,1
item-132,item,136200,136400,200,1
item-133,item,143600,143800,200,1
item-134,item,145000,145200,200,1
FEET_COVERED-16,FEET_COVERED,147000,147200,200,1
FEET_COVERED-17,FEET_COVERED,147000,147200,200,1
snake-143,snake,147200,147400,200,1
clown-86,clown,147800,149600,1800,9
violence-153,violence,149000,149200,200,1
violence-154,violence,155000,155400,400,2
FEET_COVERED-18,FEET_COVERED,155400,155600,200,1
clown-87,clown,155400,157600,2200,9
FEET_COVERED-19,FEET_COVERED,156200,156800,600,3
clown-88,clown,156200,156400,200,1
snake-144,snake,157800,158000,200,1
FEET_COVERED-20,FEET_COVERED,160000,160200,200,1
clown-89,clown,160000,160400,400,2
FEET_COVERED-21,FEET_COVERED,160600,161000,400,2
snake-145,snake,160800,161000,200,1
FEET_COVERED-22,FEET_COVERED,161000,161200,200,1
FEET_COVERED-23,FEET_COVERED,163200,164400,1200,4
clown-90,clown,163200,163400,200,1
FEET_COVERED-24,FEET_COVERED,166400,167400,1000,5
clown-91,clown,166400,166600,200,1
violence-155,violence,166400,166600,200,1
snake-146,snake,166800,167400,600,3
FEET_COVERED-25,FEET_COVERED,167200,167400,200,1
item-135,item,168400,168600,200,1
clown-92,clown,170400,171800,1400,4
FEET_COVERED-26,FEET_COVERED,170800,171200,400,2
FEET_COVERED-27,FEET_COVERED,171400,171600,200,1
FEET_COVERED-28,FEET_COVERED,174000,175000,1000,3
FEET_COVERED-29,FEET_COVERED,174000,174800,800,3
clown-93,clown,174000,176600,2600,7
FEET_COVERED-30,FEET_COVERED,176400,176600,200,1
FEET_COVERED-31,FEET_COVERED,179600,180400,800,3
FEET_COVERED-32,FEET_COVERED,179600,179800,200,1
clown-94,clown,179600,180400,800,3
clown-95,clown,179600,180000,400,2
violence-156,violence,180000,180200,200,1
blood-57,blood,182800,183000,200,1
blood-58,blood,187600,187800,200,1
blood-59,blood,188200,188400,200,1
blood-60,blood,190600,190800,200,1
clown-96,clown,190800,191200,400,2
clown-97,clown,191000,191200,200,1
blood-61,blood,196000,196200,200,1
clown-98,clown,202200,202400,200,1
clown-99,clown,202600,202800,200,1
FEMALE_BREAST_COVERED-46,FEMALE_BREAST_COVERED,202800,203000,200,1
item-136,item,206400,206600,200,1
FEET_COVERED-33,FEET_COVERED,208800,209800,1000,3
clown-100,clown,209000,209200,200,1
item-137,item,209200,209400,200,1
violence-157,violence,214000,214200,200,1
item-138,item,214200,214400,200,1
item-139,item,216600,217200,600,2
FEET_COVERED-34,FEET_COVERED,217200,218800,1600,6
clown-101,clown,217200,218800,1600,6
clown-102,clown,217600,218000,400,2
FEET_COVERED-35,FEET_COVERED,218600,218800,200,1
item-140,item,218800,219000,200,1
item-141,item,218800,219600,800,3
item-142,item,220000,220200,200,1
